OBJECTID,Sample_Year,habitatid,subRegionId,Site_Code,sitename,siteid,Station_ID,Cyano,GIS_FWC_CREMP_PrctCover_Grp_poi,Macroalgae,Octocoral,Others,Porifera,Seagrass,Stony_coral,Substrate,Unknown,Urchins,Zoanthidea,Site_Label
3853,1996,HB,UK,9H1,Rattlesnake,10,101,,479,0.15866388,0.02296451,0,0.0125261,0.00417537,0,0.80167015,,0,0,Rattlesnake 1996
3854,1996,HB,UK,9H1,Rattlesnake,10,102,,525,0.24761905,0.04,0,0.03047619,0,0,0.68190476,,0,0,Rattlesnake 1996
3855,1996,HB,UK,9H1,Rattlesnake,10,103,,558,0.03225806,0.04121864,0,0.03942652,0.00358423,0,0.88351254,,0,0,Rattlesnake 1996
3856,1996,HB,UK,9H1,Rattlesnake,10,104,,446,0.42600897,0.04932735,0,0.04035874,0,0,0.48430493,,0,0,Rattlesnake 1996
3857,1996,HB,UK,9H2,El Radabob,11,111,,450,0.31555556,0.00666667,0,0,0.31333333,0,0.36444444,,0,0,El Radabob 1996
3858,1996,HB,UK,9H2,El Radabob,11,112,,421,0.28741093,0.01187648,0,0.0023753,0.24940618,0,0.44893112,,0,0,El Radabob 1996
3859,1996,HB,UK,9H2,El Radabob,11,113,,468,0.35683761,0.00213675,0,0.01068376,0.33974359,0,0.29059829,,0,0,El Radabob 1996
3860,1996,HB,UK,9H2,El Radabob,11,114,,445,0.34157303,0,0,0.02696629,0.38202247,0,0.2494382,,0,0,El Radabob 1996
3861,1996,HB,UK,9H3,Dove Key,12,121,,586,0.39078498,0.02047782,0,0.01023891,0.00682594,0,0.57167235,,0,0,Dove Key 1996
3862,1996,HB,UK,9H3,Dove Key,12,122,,578,0.26470588,0.01211073,0,0.01038062,0,0,0.71280277,,0,0,Dove Key 1996
3863,1996,HB,UK,9H3,Dove Key,12,123,,590,0.51016949,0.01355932,0,0.03559322,0.02033898,0.00169492,0.41864407,,0,0,Dove Key 1996
3864,1996,HB,UK,9H3,Dove Key,12,124,,599,0.04841402,0.00834725,0,0.01168614,0.00500835,0,0.92654424,,0,0,Dove Key 1996
3865,1996,HB,MK,7H2,Long Key,14,141,,498,0.20080321,0.11646586,0,0.00200803,0,0.03212851,0.64859438,,0,0,Long Key 1996
3866,1996,HB,MK,7H2,Long Key,14,142,,562,0.40035587,0.09252669,0,0,0,0.1316726,0.37544484,,0,0,Long Key 1996
3867,1996,HB,MK,7H2,Long Key,14,143,,584,0.16952055,0.1489726,0,0.01027397,0,0.00684932,0.66438356,,0,0,Long Key 1996
3868,1996,HB,MK,7H2,Long Key,14,144,,570,0.34736842,0.14210526,0,0.00877193,0,0.03859649,0.46315789,,0,0,Long Key 1996
3869,1996,HB,MK,5H1,Moser Channel,15,151,,734,0.73297003,0.13215259,0,0.02724796,0,0.01634877,0.09128065,,0,0,Moser Channel 1996
3870,1996,HB,MK,5H1,Moser Channel,15,152,,625,0.7376,0.064,0,0,0,0.0112,0.1872,,0,0,Moser Channel 1996
3871,1996,HB,MK,5H1,Moser Channel,15,153,,615,0.54146341,0.13821138,0,0.02926829,0,0.02113821,0.2699187,,0,0,Moser Channel 1996
3872,1996,HB,MK,5H1,Moser Channel,15,154,,600,0.72666667,0.09,0,0.005,0,0.01666667,0.16166667,,0,0,Moser Channel 1996
3873,1996,HB,MK,5H2,Molasses Keys,16,161,,567,0.51675485,0.01763668,0,0,0,0.00176367,0.4638448,,0,0,Molasses Keys 1996
3874,1996,HB,MK,5H2,Molasses Keys,16,162,,538,0.42565056,0.0204461,0,0.00185874,0.00185874,0,0.55018587,,0,0,Molasses Keys 1996
3875,1996,HB,MK,5H2,Molasses Keys,16,163,,526,0.62927757,0.02091255,0,0,0.00380228,0.00380228,0.34220532,,0,0,Molasses Keys 1996
3876,1996,HB,MK,5H2,Molasses Keys,16,164,,494,0.73481781,0.05263158,0,0,0.00202429,0,0.21052632,,0,0,Molasses Keys 1996
3877,1996,BCP,LK,3H1,Content Keys,18,181,,584,0.18664384,0,0,0.03082192,0,0.00342466,0.77910959,,0,0,Content Keys 1996
3878,1996,BCP,LK,3H1,Content Keys,18,182,,678,0.66519174,0,0,0.01032448,0,0.00589971,0.31858407,,0,0,Content Keys 1996
3879,1996,BCP,LK,3H1,Content Keys,18,183,,590,0.0440678,0,0,0.00169492,0,0.00677966,0.94745763,,0,0,Content Keys 1996
3880,1996,BCP,LK,3H1,Content Keys,18,184,,580,0.67931034,0,0.03275862,0.01724138,0,0.00862069,0.26206897,,0,0,Content Keys 1996
3881,1996,P,UK,9P1,Turtle,30,301,,599,0.05676127,0.39065109,0,0.00500835,0,0.09015025,0.45742905,,0,0,Turtle 1996
3882,1996,P,UK,9P1,Turtle,30,302,,407,0.23587224,0.35380835,0,0.004914,0,0.06633907,0.33415233,,0,0.004914,Turtle 1996
3883,1996,P,UK,9P1,Turtle,30,303,,505,0.00594059,0.35445545,0,0.02376238,0.00594059,0.14257426,0.46732673,,0,0,Turtle 1996
3884,1996,P,UK,9P1,Turtle,30,304,,476,0.1302521,0.37815126,0,0.03991597,0,0.06302521,0.38865546,,0,0,Turtle 1996
3885,1996,P,UK,9P3,Porter Patch,32,321,,585,0.04273504,0.14700855,0,0.27521368,0.04786325,0.01880342,0.46324786,,0,0.00512821,Porter Patch 1996
3886,1996,P,UK,9P3,Porter Patch,32,322,,501,0.08383234,0.15768463,0,0.05788423,0,0.04191617,0.65868263,,0,0,Porter Patch 1996
3887,1996,P,UK,9P3,Porter Patch,32,323,,540,0.13703704,0.09259259,0,0.06111111,0.00185185,0.0037037,0.69444444,,0,0.00925926,Porter Patch 1996
3888,1996,P,UK,9P3,Porter Patch,32,324,,590,0.06101695,0.13898305,0,0.02542373,0.01016949,0.02881356,0.73050847,,0,0.00508475,Porter Patch 1996
3889,1996,P,UK,9P4,Admiral,33,331,,594,0.04713805,0.2003367,0,0,0,0.4006734,0.35185185,,0,0,Admiral 1996
3890,1996,P,UK,9P4,Admiral,33,332,,539,0.00185529,0.11688312,0,0,0,0.48608534,0.39517625,,0,0,Admiral 1996
3891,1996,P,UK,9P4,Admiral,33,333,,549,0.03096539,0.27322404,0,0,0,0.27322404,0.42258652,,0,0,Admiral 1996
3892,1996,P,UK,9P4,Admiral,33,334,,567,0.01410935,0.44444444,0,0.00352734,0,0.14814815,0.38977072,,0,0,Admiral 1996
3893,1996,P,MK,7P1,West Turtle Shoal,34,341,,481,0.004158,0.21413721,0,0.07900208,0,0.12266112,0.55093555,,0,0.02910603,West Turtle Shoal 1996
3894,1996,P,MK,7P1,West Turtle Shoal,34,342,,603,0.01492537,0.32669983,0,0.08126036,0,0.05970149,0.51575456,,0,0.00165837,West Turtle Shoal 1996
3895,1996,P,MK,7P1,West Turtle Shoal,34,343,,600,0.02666667,0.29833333,0,0.09166667,0,0.18166667,0.37333333,,0,0.02833333,West Turtle Shoal 1996
3896,1996,P,MK,7P1,West Turtle Shoal,34,344,,512,0.00390625,0.34960938,0,0.03710938,0,0.203125,0.38671875,,0,0.01953125,West Turtle Shoal 1996
3897,1996,P,MK,7P2,Dustan Rocks,35,351,,560,0.05,0.49821429,0,0.03214286,0,0.09107143,0.30714286,,0,0.02142857,Dustan Rocks 1996
3898,1996,P,MK,7P2,Dustan Rocks,35,352,,502,0.15936255,0.34661355,0,0.05179283,0,0.21713147,0.21912351,,0,0.0059761,Dustan Rocks 1996
3899,1996,P,MK,7P2,Dustan Rocks,35,353,,577,0.10051993,0.22530329,0,0.01906412,0,0.13344887,0.49913345,,0,0.02253033,Dustan Rocks 1996
3900,1996,P,MK,7P2,Dustan Rocks,35,354,,558,0.03763441,0.41935484,0,0.01971326,0,0.13261649,0.3655914,,0,0.02508961,Dustan Rocks 1996
3901,1996,P,LK,5P1,West Washer Women,36,361,,624,0.05288462,0.18269231,0,0.01282051,0,0.32371795,0.42788462,,0,0,West Washer Women 1996
