site,source,lat,long,slope
1,serc,25.27355,-80.37458,-0.001132778
2,serc,25.28503,-80.39503,-0.002376875
3,serc,25.25103,-80.41517,0.004196667
4,serc,25.22173,-80.38832,0.009826667
5,serc,25.17405,-80.42308,-0.003858571
6,serc,25.20668,-80.4404,-0.0153515
7,serc,25.2536,-80.44415,0.006476753
8,serc,25.22737,-80.46167,-0.016735
9,serc,25.17707,-80.49157,-0.025433
10,serc,25.22447,-80.53658,-0.03
11,serc,25.17517,-80.62692,-0.026222
12,serc,25.14037,-80.71612,-0.060801923
13,serc,25.09142,-80.75478,-0.034797929
14,serc,25.15048,-80.80922,-0.075825714
15,serc,25.12138,-80.80288,-0.046779286
16,serc,25.11827,-80.93965,-0.028766667
17,serc,25.04247,-80.91482,-0.065611111
18,serc,25.00242,-80.9001,-0.04585
19,serc,24.97767,-80.75352,-0.01337627
20,serc,24.9295,-80.75047,-0.018311333
21,serc,25.0066,-80.68127,-0.02987
22,serc,25.04008,-80.61405,-0.029335
23,serc,25.11797,-80.59972,-0.024935
24,serc,25.10175,-80.5314,-0.020296667
25,serc,25.0837,-81.08058,-0.0362
26,serc,24.98073,-81.00163,-0.1206105
27,serc,24.9186,-80.93487,-0.036644394
28,serc,24.8672,-80.80715,-0.0201835
29,serc,25.55453,-81.18367,0.020513333
30,serc,25.58017,-81.12093,0.043814167
31,serc,25.56758,-81.07147,0.077764167
32,serc,25.5294,-81.04338,0.077926375
33,serc,25.49973,-81.04898,0.066601726
34,serc,25.48605,-81.11115,0.042868182
35,serc,25.47502,-81.15293,0.043077231
36,serc,25.41168,-81.14145,0.09858375
37,serc,25.43168,-81.08238,0.0180825
38,serc,25.41728,-80.99843,-0.008494286
39,serc,25.37892,-81.03073,-0.020091818
40,serc,25.34972,-81.12457,0.0241555
41,serc,25.33115,-81.07267,0.036345714
42,serc,25.326,-81.01455,0.000408333
43,serc,25.28613,-81.02365,0.023517273
44,serc,25.33187,-80.9837,-0.007158182
45,serc,25.3009,-80.96033,0.093488958
46,serc,25.28503,-80.9758,0.045137045
47,serc,25.27965,-80.93077,0.03319
48,serc,25.2408,-80.95793,0.013772
49,serc,25.2284,-80.933,0.039281667
50,serc,25.19087,-80.91413,0.171239231
51,serc,25.8075,-81.3495,0.04996875
52,serc,25.77,-81.38333,-0.019155
53,serc,25.78417,-81.33217,0.049766667
54,serc,25.7855,-81.30917,0.04251
55,serc,25.796,-81.28,0.099027273
56,serc,25.753,-81.2555,0.097691429
57,serc,25.7175,-81.2305,0.0007725
58,serc,25.70783,-81.25217,-0.00791
59,serc,25.69167,-81.29867,0.027303333
60,serc,25.73133,-81.28467,-0.030951587
61,serc,25.7125,-81.207,-0.007582182
62,serc,25.67017,-81.16867,0.087294444
63,serc,25.63333,-81.145,0.092919495
64,serc,25.85327,-81.39337,0.036812318
65,serc,25.82718,-81.44108,0.086772778
66,serc,25.80483,-81.4625,0.03818275
67,serc,25.83033,-81.50283,0.068646667
68,serc,25.84933,-81.54217,0.039021667
69,serc,25.87417,-81.516,0.075253333
70,serc,25.9,-81.516,0.054807333
71,serc,25.86678,-81.57482,0.038851058
72,serc,25.89447,-81.55887,0.05558
73,serc,25.882,-81.60633,-0.045948125
74,serc,25.91117,-81.61533,-0.008199583
75,serc,25.9298,-81.60032,0.002341
76,serc,25.8895,-81.4765,-0.040724583
101,serc,25.47833,-80.32083,0.001285786
102,serc,25.54583,-80.29467,0.003248929
103,serc,25.57333,-80.28667,0.008439931
104,serc,25.60167,-80.22083,-0.002744242
108,serc,25.56917,-80.1925,-0.002481111
109,serc,25.56417,-80.235,0.000303462
110,serc,25.505,-80.2875,-0.002702833
111,serc,25.51583,-80.24,-0.0006015
112,serc,25.48833,-80.18833,-8.86E-05
113,serc,25.44167,-80.22333,0.0017825
116,serc,25.4,-80.255,0.001968333
121,serc,25.355,-80.29167,0.004956
122,serc,25.42017,-80.31083,0.00333525
123,serc,25.445,-80.28333,0.004953778
124,serc,25.4725,-80.23333,4.67E-05
126,serc,25.67167,-80.205,0.0007
127,serc,25.63,-80.25,8.25E-06
128,serc,25.68833,-80.23333,-0.0069305
129,serc,25.73667,-80.185,0.0053225
130,serc,25.76333,-80.17167,0.003180857
131,serc,25.8,-80.16667,0.027557
132,serc,25.81667,-80.16667,0.0259275
133,serc,25.86667,-80.15,0.017684714
134,serc,25.905,-80.13333,-0.021769524
135,serc,25.31667,-80.31667,0.024784167
351,serc,24.69167,-81.79167,-0.012343333
352,serc,24.77583,-81.783,-0.012971515
353,serc,24.85833,-81.77667,-0.004832738
354,serc,24.94133,-81.76867,-0.010233929
355,serc,25.02467,-81.7625,-0.02913475
356,serc,25.10767,-81.75383,-0.03433625
357,serc,25.19117,-81.74533,-0.036407778
358,serc,25.27467,-81.73817,-0.01537
359,serc,25.35833,-81.73,-0.012281429
360,serc,25.44117,-81.721,-0.003036667
361,serc,25.52467,-81.715,-0.017536528
362,serc,25.60867,-81.70667,0.0144
363,serc,25.692,-81.69833,0.013184444
364,serc,25.69167,-81.53333,0.04568
365,serc,25.6085,-81.53933,0.020435714
366,serc,25.526,-81.54883,0.017471429
367,serc,25.4425,-81.555,0.013383333
368,serc,25.3585,-81.56333,0.0225775
369,serc,25.2755,-81.572,0.020475
370,serc,25.19183,-81.57917,-0.008085
371,serc,25.10833,-81.58683,0.0066
372,serc,25.025,-81.59533,0.0002045
373,serc,24.94217,-81.603,-0.0127725
374,serc,24.85883,-81.61083,-0.028556667
375,serc,24.77567,-81.61783,-0.012394286
376,serc,24.84333,-81.43833,0.00815
377,serc,24.935,-81.43167,-0.026662
378,serc,25.01667,-81.41583,-0.000896667
379,serc,25.1,-81.40883,-0.0112
380,serc,25.18333,-81.4,-0.020843333
381,serc,25.26667,-81.395,-0.02216
382,serc,25.35,-81.38667,0.01604875
383,serc,25.4325,-81.37783,-0.02955
384,serc,25.5155,-81.37,0.025117778
385,serc,25.60017,-81.36317,0.018491667
386,serc,25.5555,-81.3405,0.019002
387,serc,25.50883,-81.31683,0.0258575
388,serc,25.425,-81.297,0.006985
389,serc,25.34167,-81.277,0.038676667
390,serc,25.26,-81.26017,0.007845
391,serc,25.175,-81.23867,-0.043752
392,serc,25.09167,-81.24833,0.00842
393,serc,25.00833,-81.25333,-0.052262
394,serc,24.925,-81.26,-0.026518571
395,serc,24.87833,-81.19167,-0.014579
396,serc,24.83333,-81.12833,-0.008632
397,serc,24.91667,-81.11833,-0.012903167
398,serc,25,-81.11,-0.020457597
399,serc,25.08333,-81.09933,-0.0699075
451,serc,25.9096,-81.6385,-0.016640257
452,serc,25.88192,-81.63322,0.009773998
453,serc,25.9,-81.68333,-0.011801316
454,serc,25.906,-81.7276,0.002505298
455,serc,25.97527,-81.75582,-0.011364
456,serc,25.9622,-81.70795,-0.051632515
457,serc,25.952,-81.6874,-0.039051181
458,serc,25.93467,-81.65325,-0.057403919
459,serc,25.98818,-81.72913,-0.028765303
460,serc,26.01553,-81.743,-0.024568469
461,serc,26.0294,-81.74873,-0.07440899
462,serc,26.04217,-81.76158,-0.061732857
463,serc,26.06305,-81.77813,-0.036953546
464,serc,26.1,-81.78718,-0.035302766
465,serc,26.09112,-81.81057,-0.030519032
466,serc,26.37845,-81.85938,0.016414839
467,serc,26.29167,-81.82,0.007229101
468,serc,26.40035,-81.88395,-0.014793085
469,serc,26.41667,-81.88,-0.018837527
470,serc,26.40732,-81.86485,-0.03611299
471,serc,26.46237,-82.00658,-0.002809355
472,serc,26.46925,-82.04573,-0.023688617
473,serc,26.5013,-82.0135,-0.032039785
474,serc,26.52302,-82.00525,-0.021097155
475,serc,26.5343,-82.05758,-0.046863118
476,serc,26.50813,-82.15157,-0.045288457
477,serc,26.5603,-82.1661,0.006389495
478,serc,26.6347,-82.20543,-0.017471649
479,serc,26.0257,-81.7332,0.628149167
