site,source,lat,long,slope
1,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.63990291,-80.1192233,1.00E-06
10,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.78009804,-80.85764706,7.50E-06
11,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.74970588,-80.8404902,4.06E-06
12,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.71038835,-80.83300971,4.29E-06
13,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.6983,-81.0244,1.01E-06
14,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.67010101,-81.02020202,6.67E-07
15,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.64009901,-81.01069307,0
15.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.58964706,-81.00188235,2.93E-06
16,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.66838095,-81.19942857,5.00E-06
17,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.6303,-81.19,9.09E-07
18,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.59067961,-81.17961165,1.00E-06
19,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.61223301,-81.41718447,6.25E-06
2,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.63969388,-80.10030612,3.50E-06
20,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.5684,-81.4118,0
21,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.5304,-81.40986667,6.28E-06
21.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.47940476,-81.38857143,6.57E-06
21/LK,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.53166667,-81.41125,-3.50E-05
22,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.45018868,-81.82122642,3.33E-06
22.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.39089888,-81.82235955,7.00E-06
23,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.48038835,-81.82116505,2.50E-06
24,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.5304717,-81.82084906,0
25,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.38982143,-82.76053571,1.67E-06
25.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.28,-82.76088889,-6.25E-07
26,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.48978723,-82.7612766,0
27,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.5842,-82.7614,5.50E-06
28,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.72114754,-82.74131148,0
28.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.89559322,-82.61050847,6.67E-06
29,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.05983607,-82.47229508,5.56E-06
